{'ce-T:': 2387, 'boogie_result': 569, 'ce-F:': 566, 'ce-I:': 562, 'actual_z3': 14}
{'ce-T:': 2069, 'ce-I:': 1638, 'boogie_result': 549, 'ce-F:': 539, 'actual_z3': 21}
{'ce-T:': 3274, 'ce-I:': 1246, 'boogie_result': 666, 'ce-F:': 660, 'actual_z3': 14}
{'ce-T:': 4184, 'ce-I:': 1803, 'boogie_result': 842, 'ce-F:': 833, 'actual_z3': 16}
{'ce-I:': 15927, 'ce-T:': 4438, 'boogie_result': 1476, 'ce-F:': 1437, 'actual_z3': 64}
{'ce-I:': 10164, 'ce-T:': 4679, 'boogie_result': 1567, 'ce-F:': 1555, 'actual_z3': 14}
{'ce-I:': 11175, 'ce-T:': 5179, 'boogie_result': 1732, 'ce-F:': 1716, 'actual_z3': 64}
{'ce-T:': 14, 'boogie_result': 6, 'actual_z3': 6}
{'ce-T:': 130, 'boogie_result': 39, 'ce-F:': 38, 'ce-I:': 38, 'actual_z3': 13}
{'ce-T:': 151, 'ce-I:': 51, 'boogie_result': 35, 'ce-F:': 16, 'actual_z3': 14}
{'ce-T:': 1105, 'boogie_result': 225, 'ce-F:': 224, 'actual_z3': 10}
{'ce-T:': 3469, 'boogie_result': 475, 'ce-F:': 466, 'ce-I:': 383, 'actual_z3': 18}
{'ce-T:': 1458, 'ce-I:': 1108, 'boogie_result': 480, 'ce-F:': 479, 'actual_z3': 18}
{'ce-T:': 2641, 'ce-I:': 1021, 'boogie_result': 516, 'ce-F:': 508, 'actual_z3': 29}
{'ce-T:': 1849, 'ce-I:': 1308, 'boogie_result': 542, 'ce-F:': 535, 'actual_z3': 12}
{'ce-T:': 2920, 'boogie_result': 490, 'ce-F:': 470, 'ce-I:': 273, 'actual_z3': 28}
{'ce-T:': 4285, 'ce-I:': 1138, 'ce-F:': 593, 'boogie_result': 570, 'actual_z3': 29}
{'ce-T:': 14, 'boogie_result': 6, 'actual_z3': 6}
{'ce-T:': 130, 'boogie_result': 39, 'ce-F:': 38, 'ce-I:': 38, 'actual_z3': 13}
{'ce-T:': 151, 'ce-I:': 51, 'boogie_result': 35, 'ce-F:': 16, 'actual_z3': 14}
{'ce-T:': 1105, 'boogie_result': 225, 'ce-F:': 224, 'actual_z3': 10}
{'ce-T:': 3469, 'boogie_result': 475, 'ce-F:': 466, 'ce-I:': 383, 'actual_z3': 18}
{'ce-T:': 1458, 'ce-I:': 1108, 'boogie_result': 480, 'ce-F:': 479, 'actual_z3': 18}
{'ce-T:': 2641, 'ce-I:': 1021, 'boogie_result': 516, 'ce-F:': 508, 'actual_z3': 29}
{'ce-T:': 1849, 'ce-I:': 1308, 'boogie_result': 542, 'ce-F:': 535, 'actual_z3': 12}
{'ce-T:': 2920, 'boogie_result': 490, 'ce-F:': 470, 'ce-I:': 273, 'actual_z3': 28}
{'ce-T:': 4285, 'ce-I:': 1138, 'ce-F:': 593, 'boogie_result': 570, 'actual_z3': 29}
{'ce-I:': 3426, 'ce-T:': 3364, 'boogie_result': 652, 'ce-F:': 635, 'actual_z3': 24}
{'ce-T:': 3431, 'ce-I:': 1410, 'boogie_result': 695, 'ce-F:': 654, 'actual_z3': 13}
{'ce-T:': 2307, 'ce-I:': 2220, 'boogie_result': 769, 'ce-F:': 749, 'actual_z3': 27}
{'ce-T:': 3702, 'ce-I:': 1694, 'boogie_result': 744, 'ce-F:': 733, 'actual_z3': 13}
{'ce-T:': 5237, 'ce-I:': 3225, 'boogie_result': 874, 'ce-F:': 850, 'actual_z3': 19}
{'ce-T:': 3945, 'ce-I:': 3464, 'boogie_result': 874, 'ce-F:': 867, 'actual_z3': 20}
{'ce-I:': 4277, 'ce-T:': 2448, 'boogie_result': 831, 'ce-F:': 824, 'actual_z3': 14}
{'ce-T:': 5434, 'ce-I:': 3839, 'boogie_result': 1064, 'ce-F:': 1062, 'actual_z3': 20}
{'ce-T:': 5443, 'ce-I:': 4643, 'boogie_result': 1170, 'ce-F:': 1163, 'actual_z3': 22}
{'ce-I:': 9978, 'ce-T:': 3870, 'boogie_result': 1194, 'ce-F:': 1163, 'actual_z3': 28}
{'ce-T:': 303, 'boogie_result': 64, 'ce-F:': 60, 'actual_z3': 7}
{'ce-T:': 483, 'boogie_result': 85, 'ce-F:': 65, 'actual_z3': 11}
{'ce-T:': 846, 'boogie_result': 201, 'ce-F:': 196, 'ce-I:': 192, 'actual_z3': 11}
{'ce-T:': 15524, 'ce-I:': 3458, 'boogie_result': 1536, 'ce-F:': 1471, 'actual_z3': 20}
{'ce-T:': 14267, 'ce-I:': 1782, 'boogie_result': 1755, 'ce-F:': 1752, 'actual_z3': 14}
{'ce-T:': 10305, 'ce-I:': 3052, 'ce-F:': 1990, 'boogie_result': 1721, 'actual_z3': 12}
{'ce-T:': 11563, 'ce-I:': 4723, 'ce-F:': 1821, 'boogie_result': 1690, 'actual_z3': 14}
{'ce-T:': 11583, 'ce-I:': 3752, 'boogie_result': 1706, 'ce-F:': 1703, 'actual_z3': 14}
